No_of_wheels,Battery_Capacity,Vehicle_mass_kg,Driver_mass_kg,C_rr,Grade,area,air_density,radius_of_wheel,Gear_ratio,transmission_efficiency,motor_efficiency,Gross_vehivle_mass,g,motor_controller_efficiency,coefficient_of_drag,Distance_travel,Battery_Capacity_available
2,3.7,111,75,0.005,0.034906667,0.875,1.225,0.1524,7.8,0.85,0.9,186,9.81,0.96,0.22,0,13320
2,3.7,111,75,0.005,0.034906667,0.875,1.225,0.1524,7.8,0.85,0.9,186,9.81,0.96,0.22,2.778,13317.73245
2,3.7,111,75,0.005,0.034906667,0.875,1.225,0.1524,7.8,0.85,0.9,186,9.81,0.96,0.22,8.333,13313.17672
2,3.7,111,75,0.005,0.034906667,0.875,1.225,0.1524,7.8,0.85,0.9,186,9.81,0.96,0.22,16.667,13306.29149
2,3.7,111,75,0.005,0.034906667,0.875,1.225,0.1524,7.8,0.85,0.9,186,9.81,0.96,0.22,27.778,13297.01484
2,3.7,111,75,0.005,0.034906667,0.875,1.225,0.1524,7.8,0.85,0.9,186,9.81,0.96,0.22,41.667,13285.26418
2,3.7,111,75,0.005,0.034906667,0.875,1.225,0.1524,7.8,0.85,0.9,186,9.81,0.96,0.22,58.333,13270.93627
2,3.7,111,75,0.005,0.034906667,0.875,1.225,0.1524,7.8,0.85,0.9,186,9.81,0.96,0.22,75,13268.33374
2,3.7,111,75,0.005,0.034906667,0.875,1.225,0.1524,7.8,0.85,0.9,186,9.81,0.96,0.22,91.667,13265.7312
2,3.7,111,75,0.005,0.034906667,0.875,1.225,0.1524,7.8,0.85,0.9,186,9.81,0.96,0.22,108.333,13263.12866
2,3.7,111,75,0.005,0.034906667,0.875,1.225,0.1524,7.8,0.85,0.9,186,9.81,0.96,0.22,125,13260.52612
2,3.7,111,75,0.005,0.034906667,0.875,1.225,0.1524,7.8,0.85,0.9,186,9.81,0.96,0.22,141.667,13257.92359
2,3.7,111,75,0.005,0.034906667,0.875,1.225,0.1524,7.8,0.85,0.9,186,9.81,0.96,0.22,158.333,13255.32105
